2006-02-03	01:44:41.9
2006-05-21	01:48:11.3
2006-02-20	01:32:45.4
2006-03-16	01:43:14.7
2006-01-26	01:53:26.0
2006-03-02	01:49:07.7
2006-07-17	01:58:04.0
2006-07-02	01:38:20.2
2006-04-10	01:30:33.7
2006-01-28	01:39:05.6
2006-09-04	01:50:28.5
2006-11-22	01:44:02.3
2006-02-11	01:56:37.2
2006-11-24	01:38:26.1
2006-09-11	01:50:36.3
2006-12-01	01:52:02.3
2006-04-08	01:30:37.9
2006-10-20	01:53:20.0
2006-12-10	01:44:31.0
2006-05-31	01:48:14.2
2006-06-04	01:57:03.6
2006-09-04	01:36:48.0
2006-03-19	01:58:51.3
2006-10-05	01:37:15.0
2006-09-15	01:40:00.0
2006-03-07	01:58:34.8
2006-04-18	01:55:55.9
2006-07-03	01:35:40.7
2006-08-11	01:39:11.4
2006-04-15	01:38:18.8
2006-04-20	01:36:04.9
2006-02-03	01:55:20.6
2006-09-18	01:57:17.1
2006-07-02	01:50:36.1
2006-03-05	01:45:34.2
2006-01-19	01:56:18.4
2006-03-19	01:52:20.2
2006-11-17	01:34:24.2
2006-11-19	01:37:28.8
2006-12-30	01:44:09.9
2006-09-28	01:38:33.6
2006-11-29	01:56:25.7
2006-02-07	01:34:42.9
2006-08-13	01:47:35.3
2006-12-21	01:49:49.0
2006-08-04	01:47:58.3
2006-03-10	01:30:28.4
2006-04-29	01:39:00.4
2006-05-19	01:56:00.8
2006-04-18	01:53:07.1
2006-12-09	01:50:39.7
2006-03-10	01:48:12.8
2006-09-19	01:49:46.7
2006-07-17	01:35:01.6
2006-04-18	01:40:17.3
2006-10-09	01:57:40.8
2006-02-09	01:34:35.4
2006-11-21	01:36:31.0
2006-08-09	01:58:36.9
2006-10-01	01:46:14.3
2006-03-09	01:48:53.8
2006-01-21	01:39:05.7
2006-04-23	01:57:09.3
2006-06-09	01:54:22.1
2006-07-17	01:53:05.1
2006-02-12	01:34:46.6
2006-02-27	01:52:13.8
2006-04-14	01:48:12.6
2006-01-11	01:54:55.7
2006-12-12	01:35:22.8
2006-03-12	01:42:42.9
2006-05-20	01:44:45.3
2006-12-12	01:59:40.4
2006-11-09	01:37:03.4
2006-05-20	01:43:29.0
2006-10-15	01:47:37.6
2006-05-09	01:38:32.9
2006-06-09	01:33:21.3
2006-05-28	01:37:38.5
2006-02-18	01:30:31.2
2006-07-29	01:36:22.0
2006-03-05	01:38:59.6
2006-04-26	01:53:17.6
2006-11-10	01:52:49.3
2006-07-06	01:53:03.9
2006-05-31	01:50:52.6
2006-05-24	01:43:24.6
2006-09-01	01:50:16.7
2006-07-21	01:46:04.9
2006-11-29	01:31:48.2
2006-11-13	01:46:48.8
2006-04-07	01:45:28.2
2006-06-07	01:48:25.6
2006-12-01	01:46:06.0
2006-05-14	01:35:42.1
2006-08-14	01:49:09.7
2006-01-15	01:36:15.4
2006-05-17	01:38:19.4
2006-07-10	01:43:39.2
2006-02-04	01:30:16.6
2006-03-24	01:55:47.7
2006-12-25	01:56:42.2
2006-02-17	01:37:03.3
2006-10-26	01:52:33.7
2006-10-28	01:56:17.3
2006-07-16	01:38:34.3
2006-07-07	01:43:00.9
2006-11-30	01:37:09.2
2006-10-06	01:46:52.0
2006-03-01	01:32:47.6
2006-12-25	01:38:49.1
2006-05-12	01:34:12.1
2006-11-24	01:45:26.9
2006-05-05	01:36:22.2
2006-09-24	01:42:40.1
2006-05-01	01:57:45.6
2006-02-05	01:58:23.9
2006-12-14	01:55:00.1
2006-04-20	01:49:10.2
2006-02-25	01:51:11.0
2006-02-19	01:40:17.9
2006-06-02	01:34:37.3
2006-07-02	01:55:08.3
2006-07-16	01:48:07.4
2006-10-16	01:59:23.0
2006-04-07	01:51:53.8
2006-06-15	01:53:42.8
2006-05-22	01:40:08.1
2006-06-07	01:40:44.0
2006-08-05	01:35:28.7
2006-02-20	01:30:11.8
2006-06-16	01:37:25.5
2006-01-24	01:56:45.1
2006-12-08	01:32:19.6
2006-06-16	01:51:35.2
2006-08-26	01:35:14.9
2006-03-12	01:48:11.5
2006-09-26	01:38:56.8
2006-05-02	01:56:16.1
2006-03-04	01:32:02.7
2006-09-20	01:47:41.8
2006-06-14	01:38:38.4
2006-09-12	01:36:28.4
2006-05-31	01:56:13.0
2006-10-23	01:39:37.7
2006-09-26	01:33:28.9
2006-01-28	01:32:45.8
2006-05-10	01:59:25.8
2006-01-18	01:57:12.8
2006-12-08	01:47:07.0
2006-01-20	01:39:29.9
2006-11-04	01:40:28.8
2006-08-17	01:59:21.6
2006-03-05	01:43:17.9
2006-11-11	01:59:51.0
2006-01-11	01:45:37.6
2006-10-09	01:30:33.2
2006-06-13	01:54:58.3
2006-08-28	01:43:21.9
2006-02-12	01:52:07.8
2006-05-22	01:36:39.4
2006-07-04	01:55:28.1
2006-02-09	01:40:28.6
2006-11-27	01:57:45.3
2006-04-10	01:47:17.3
2006-07-11	01:38:39.9
2006-07-10	01:50:22.3
2006-01-26	01:40:10.1
2006-05-12	01:43:06.1
2006-09-05	01:34:03.7
2006-08-04	01:37:22.1
2006-05-28	01:59:08.7
2006-05-10	01:34:56.2
2006-04-06	01:49:15.7
2006-10-31	01:44:36.0
2006-09-29	01:53:20.6
2006-08-31	01:41:07.5
2006-11-25	01:58:53.1
2006-03-24	01:53:33.5
2006-05-26	01:47:37.6
2006-07-17	01:47:57.0
2006-02-16	01:33:45.8
2006-04-19	01:31:17.2
2006-11-10	01:33:03.7
2006-09-27	01:58:20.5
2006-01-15	01:46:16.6
2006-03-31	01:49:34.5
2006-02-28	01:52:26.3
2006-11-22	01:31:09.8
2006-01-28	01:47:08.2
2006-09-16	01:40:05.8
2006-11-29	01:35:57.5
2006-10-05	01:56:11.7
2006-07-17	01:33:18.6
2006-10-24	01:36:55.5
2006-12-16	01:59:09.2
2006-10-11	01:37:28.0
2006-04-18	01:35:41.8
2006-05-09	01:48:45.8
2006-03-08	01:54:37.6
2006-01-15	01:46:49.0
2006-11-05	01:57:04.2
2006-02-19	01:47:30.2
2006-01-08	01:42:42.5
2006-12-05	01:48:46.1
2006-02-28	01:57:37.9
2006-03-18	01:36:24.5
2006-08-08	01:49:48.6
2006-08-01	01:53:59.3
2006-05-18	01:46:26.4
2006-08-13	01:50:08.6
2006-05-07	01:40:55.4
2006-04-24	01:54:36.6
2006-10-21	01:45:43.7
2006-08-15	01:59:50.4
2006-11-11	01:55:52.9
2006-08-07	01:50:41.9
2006-07-17	01:31:57.5
2006-06-30	01:42:34.9
2006-03-07	01:53:04.4
2006-01-05	01:37:02.4
2006-04-11	01:54:58.3
2006-03-23	01:57:38.7
2006-10-03	01:55:01.5
2006-04-17	01:41:34.0
2006-02-09	01:56:11.3
2006-09-09	01:40:00.2
2006-09-17	01:55:58.7
2006-08-26	01:58:06.3
2006-08-01	01:32:15.6
2006-04-12	01:37:06.7
2006-08-09	01:51:06.6
2006-04-08	01:41:49.5
2006-05-21	01:37:16.5
2006-07-21	01:55:09.0
2006-01-08	01:38:15.9
2006-07-22	01:58:13.8
2006-05-29	01:56:02.3
2006-06-07	01:33:59.9
2006-04-28	01:39:38.5
2006-06-29	01:52:51.1
