2008-01-21	01:51:43.3
2008-08-18	01:30:40.0
2008-08-09	01:55:16.8
2008-07-17	01:43:46.8
2008-06-07	01:35:45.5
2008-07-31	01:40:23.8
2008-11-18	01:53:02.2
2008-03-26	01:57:11.3
2008-03-22	01:42:20.0
2008-11-26	01:31:00.7
2008-07-05	01:38:15.9
2008-02-08	01:44:20.3
2008-06-06	01:38:10.1
2008-01-06	01:36:32.4
2008-04-26	01:31:58.5
2008-10-08	01:43:46.9
2008-03-18	01:51:41.7
2008-08-10	01:55:13.9
2008-05-10	01:53:37.8
2008-10-01	01:40:21.9
2008-07-29	01:52:18.9
2008-06-19	01:59:10.0
2008-12-28	01:57:13.7
2008-10-31	01:40:38.8
2008-05-17	01:45:11.4
2008-01-19	01:40:40.3
2008-07-04	01:40:53.9
2008-04-21	01:30:23.1
2008-03-07	01:52:15.3
2008-02-24	01:41:56.1
2008-08-29	01:56:49.4
2008-07-20	01:52:34.0
2008-02-22	01:42:01.3
2008-09-08	01:52:08.5
2008-05-21	01:38:03.2
2008-02-16	01:49:19.8
2008-10-27	01:31:24.4
2008-03-03	01:49:23.3
2008-01-01	01:38:44.8
2008-04-16	01:46:41.8
2008-07-04	01:34:14.1
2008-11-18	01:54:11.8
2008-02-18	01:59:58.8
2008-01-02	01:32:23.8
2008-09-21	01:57:45.2
2008-10-11	01:36:52.0
2008-07-28	01:52:32.8
2008-11-25	01:58:22.9
2008-07-07	01:47:02.6
2008-02-14	01:53:02.8
2008-01-13	01:40:33.4
2008-09-13	01:47:00.5
2008-11-15	01:32:11.0
2008-01-05	01:44:50.4
2008-08-13	01:47:46.0
2008-09-20	01:32:43.0
2008-03-01	01:40:31.4
2008-04-04	01:46:10.0
2008-09-01	01:55:28.4
2008-12-08	01:57:08.5
2008-07-28	01:42:55.3
2008-01-01	01:51:00.8
2008-09-14	01:47:01.1
2008-04-24	01:50:45.3
2008-05-29	01:38:44.3
2008-08-29	01:44:45.9
